Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0402_1005Metric",72.400000,-113.933333,180.000000,top
"C2","100nF","C_0402_1005Metric",72.400000,-115.900000,0.000000,top
"C3","100nF","C_0402_1005Metric",72.400000,-112.950000,0.000000,top
"C4","10uF","C_0402_1005Metric",72.400000,-114.916666,0.000000,top
"C5","10uF","C_0402_1005Metric",89.094800,-115.575400,0.000000,top
"C6","10uF","C_0402_1005Metric",91.350000,-114.450000,180.000000,top
"C7","1uF","C_0402_1005Metric",81.250000,-122.400000,90.000000,top
"C8","10uF","C_0402_1005Metric",89.050000,-114.550000,0.000000,top
"C9","10uF","C_0402_1005Metric",102.250000,-127.050000,0.000000,top
"C10","100nF","C_0402_1005Metric",77.850000,-90.550000,0.000000,top
"C11","100nF","C_0402_1005Metric",89.171000,-122.027000,0.000000,top
"C12","10uF","C_0402_1005Metric",88.300000,-85.850000,-90.000000,top
"C13","10uF","C_0402_1005Metric",87.200000,-85.850000,-90.000000,top
"C14","10uF","C_0402_1005Metric",86.150000,-85.850000,-90.000000,top
"C15","100nF","C_0402_1005Metric",78.513400,-115.981800,-90.000000,top
"D1","1N5819","D_SOD-323",90.550000,-87.850000,90.000000,top
"D2","SMAJ36CA-13-F","D_SMA",101.750000,-116.050000,90.000000,top
"D3","LED_red","LED_0402_1005Metric",95.924700,-89.037200,0.000000,top
"D4","MB10S","SOIC245P670X290-4N",102.532500,-87.750000,0.000000,top
"D5","LED","LED_0402_1005Metric",104.550000,-96.950000,90.000000,top
"D6","LED","LED_0402_1005Metric",104.650000,-104.335000,90.000000,top
"D7","LED","LED_0402_1005Metric",104.550000,-111.150000,90.000000,top
"D8","LED","LED_0402_1005Metric",104.650000,-118.750000,90.000000,top
"D9","D_TVS_Dual_AAC","SOT-23",101.750000,-122.350000,0.000000,top
"D10","1N5819","D_SOD-323",104.750000,-123.350000,-90.000000,top
"IC1","ESP32-C6-WROOM-1-N8","ESP32C6WROOM1N8",76.850000,-101.900000,90.000000,top
"J5","Conn_01x05_Female","PinSocket_1x05_P2.54mm_Vertical",97.950000,-124.970000,180.000000,top
"J6","Conn_01x05_Female","PinSocket_1x05_P2.54mm_Vertical",94.325000,-125.000000,180.000000,top
"J8","Conn_01x04_Female","PinSocket_1x04_P2.54mm_Vertical",102.074900,-102.850000,0.000000,top
"K1","G3VM-62J1","G3VM-62J1",96.325000,-98.040000,0.000000,top
"K2","G3VM-62J1","G3VM-62J1",96.325000,-107.996800,0.000000,top
"R1","10k","R_0402_1005Metric",78.000000,-113.450000,-90.000000,top
"R2","10k","R_0402_1005Metric",79.200000,-113.450000,-90.000000,top
"R3","10k","R_0402_1005Metric",74.860000,-113.540000,-90.000000,top
"R4","10k","R_0402_1005Metric",92.240000,-91.150000,0.000000,top
"R5","330R","R_0402_1005Metric",95.921300,-90.027800,180.000000,top
"R6","330R","R_0402_1005Metric",91.839400,-93.744000,90.000000,top
"R7","330R","R_0402_1005Metric",91.864400,-98.844000,90.000000,top
"R8","330R","R_0402_1005Metric",91.864400,-103.704000,90.000000,top
"R9","330R","R_0402_1005Metric",91.864400,-108.794000,90.000000,top
"R10","1k","R_0402_1005Metric",86.250000,-115.550000,180.000000,top
"R11","10","R_0402_1005Metric",91.203000,-118.293200,0.000000,top
"R12","10","R_0402_1005Metric",91.203000,-119.283800,0.000000,top
"R13","1k","R_0402_1005Metric",104.550000,-95.050000,-90.000000,top
"R14","1k","R_0402_1005Metric",104.550000,-93.150000,-90.000000,top
"R15","1k","R_0402_1005Metric",104.650000,-102.435000,-90.000000,top
"R16","1k","R_0402_1005Metric",104.650000,-100.535000,-90.000000,top
"R17","1k","R_0402_1005Metric",104.550000,-109.250000,-90.000000,top
"R18","1k","R_0402_1005Metric",104.550000,-107.350000,-90.000000,top
"R19","1k","R_0402_1005Metric",104.650000,-116.840000,-90.000000,top
"R20","1k","R_0402_1005Metric",104.650000,-114.940000,-90.000000,top
"U2","MAX3485","SOIC-8_3.9x4.9mm_P1.27mm",86.504000,-118.852000,-90.000000,top
