Designator, Val, Package, Mid X, Mid Y, Rotation, Layer
C1, 100nF, C_0402_1005Metric, 137.4000, -93.1000, -90.0000, top
C2, 100nF, C_0402_1005Metric, 146.2024, -97.0026, 90.0000, top
C3, 10uF, C_0402_1005Metric, 145.1610, -96.9798, 90.0000, top
C4, 10uF, C_0402_1005Metric, 139.9200, -99.7348, 0.0000, top
C5, 100nF, C_0402_1005Metric, 139.9200, -100.7000, 180.0000, top
D1, 1N5819, D_SOD-323, 141.8590, -99.6188, -90.0000, top
D2, 1N5819, D_SOD-323, 143.3000, -91.2000, 180.0000, top
J1, TYPEC31, HRO_TYPE-C-31-M-1,  142.7000, -104.8500, 0.0000, top
R1, 5k1, R_0402_1005Metric, 151.4000, -102.7500, -90.0000, top
R2, 5k1, R_0402_1005Metric, 150.3500, -102.7500, -90.0000, top
R3, 47.5k, R_0402_1005Metric, 142.3670, -92.8624, 0.0000, top
R4, 22.1k, R_0402_1005Metric, 144.3000, -92.8878, 180.0000, top
SW1, Reset, SW_PUSH_6mm, 128.7284, -93.6858, 0.0000, top
SW2, Boot, SW_PUSH_6mm, 150.7500, -93.6858, 0.0000, top
U1, SPX3819M5-L-3-3, SOT-23-5, 142.8750, -95.7072, 0.0000, top
